title,year,poster,video,subtitle,original_audio,audio_tel,audio_hin,audio_eng,audio_tam,audio_other
Baar Baar Dekho,2016, https://archive.org/download/baar-baar-dekho-2016-hindi-1080p/poster.jpg, https://archive.org/download/baar-baar-dekho-2016-hindi-1080p/Baar%20Baar%20Dekho%20%282016%29%20-%20%5B1080p%20BDRip%5D%20-%20%28Hindi%29%20-%20%7BH.264%20%2B%20AAC%20%2B%20eSub%7D.mkv, https://archive.org/download/baar-baar-dekho-2016-hindi-1080p/eng_sub.srt, Hindi, , , , ,
Arjun: The Warrior Prince,2012,https://archive.org/download/arjun-the-warrior-prince-2012-hindi/poster.jpg,https://archive.org/download/arjun-the-warrior-prince-2012-hindi/Arjun%20The%20Warrior%20Prince%20%282012%29%20-%20%5B1080p%20WEB-DL%20~NF%5D%20%7BH.264%20%2B%20AAC%20%2B%20eSub%7D.mkv,https://archive.org/download/arjun-the-warrior-prince-2012-hindi/eng_sub.srt,Hindi,,,,,
Obsession,2025,https://archive.org/download/obsession-2025-english/poster.jpg,https://archive.org/download/obsession-2025-english/Obsession%20%282025%29%20English%20TRUE%20WEB-DL%20-%201080p%20-%20AVC%20-%20%28DD%2B5.1%20-%20640Kbps%29%20-%204.7GB.mkv,https://archive.org/download/obsession-2025-english/eng_sub.srt,English (DD+ 5.1 Surround),,,https://archive.org/download/obsession-2025-english/obsession_2025_eng_stereo.aac,,
Manam,2014,https://archive.org/download/manam-2014-telugu/poster.jpg,https://archive.org/download/manam-2014-telugu/Manam%20%282014%29%20-%20%5B720p%20BDRip%5D%20%7BH.264%20%2B%20AAC%7D.mkv,,Telugu,,,,,
Interstellar,2014,https://archive.org/download/interstellar-2014-english/poster.jpg,https://archive.org/download/interstellar-2014-english/Interstellar%20%282014%29%20-%20%5B1080%20BluRay%5D%20%7BH.264%20%2B%20AAC%20%2B%20eSub%7D.mkv,https://archive.org/download/interstellar-2014-english/eng_sub.srt,English,,,,,
Project Almanac,2014,https://archive.org/download/project-almanac-2014-english/poster.jpg,https://archive.org/download/project-almanac-2014-english/Project%20Almanac%20%282014%29%20-%20%5B1080p%20BluRay%5D%20%7BH.264%20%2B%20AAC%20%2B%20eSub%7D.mkv,https://archive.org/download/project-almanac-2014-english/eng_sub.srt,English,,,,,
Orange,2010,https://archive.org/download/orange-2010-telugu/poster.jpg,https://archive.org/download/orange-2010-telugu/Orange%20%282010%29%20-%20%5BTelugu%5D%20%5B1080p%20BluRay%5D%20%7BH.264%20%2B%20AAC%20%2B%20ESub%7D.mkv,https://archive.org/download/orange-2010-telugu/eng_sub.srt,Telugu,,,,,
Taare Zameen Par,2007,https://archive.org/download/taare-zameen-par-2007-hindi_202609/taare.jpg,https://archive.org/download/taare-zameen-par-2007-hindi_202609/Taare%20Zameen%20Par%20%282007%29%20-%20%5BHindi%5D%20-%201080p%20BluRay%20-%20%7BH.264%20%2B%20AAC%20%2B%20Esub%7D.mkv,https://archive.org/download/taare-zameen-par-2007-hindi_202609/eng_sub.srt,Hindi,,,,,
Pelli Choopulu,2016,https://archive.org/download/pelli-choopulu-2016-telugu/poster.jpg,https://archive.org/download/pelli-choopulu-2016-telugu/Pelli%20Choopulu%20%282016%29%20-%20%5BTelugu%5D%20%5B720p%20WebRip%5D%20%7BH.264%20%2B%20AAC%7D.mkv,,Telugu,,,,,
Secret Superstar,2017,https://archive.org/download/secret-superstar-2017-hindi/secret_superstar.jpg,https://archive.org/download/secret-superstar-2017-hindi/Secret%20Superstar%20%282017%29%20-%20%5BHindi%5D%20%5B1080p%20BluRay%5D%20%7BH.264%20%2B%20AAC%20%2B%20ESub%7D.mkv,https://archive.org/download/secret-superstar-2017-hindi/eng_sub.srt,Hindi,,,,,
Hacked,2020,https://archive.org/download/hacked-2020-hindi/hacked.jpg,https://archive.org/download/hacked-2020-hindi/Hacked%20%282020%29%20-%20%5BHindi%5D%20%5B1080p%20WebDL%5D%20%7BH.264%20%2B%20AAC%20%2B%20ESub%7D.mkv,https://archive.org/download/hacked-2020-hindi/eng_sub.srt,Hindi,,,,,
Lucy,2014,https://archive.org/download/lucy-2014-english/lucy.jpg,https://archive.org/download/lucy-2014-english/Lucy%20%282014%29%20-%20%5BEnglish%5D%20%5B1080p%20BluRay%5D%20%7BH.264%20%2B%20AAC%20%2B%20ESub%7D.mkv,https://archive.org/download/lucy-2014-english/eng_sub.srt,English,,,,,
Mahavatar Narsimha,2025,https://archive.org/download/mahavatar-narsimha-2025-telugu/mahavtar.jpg,https://archive.org/download/mahavatar-narsimha-2025-telugu/Mahavatar%20Narsimha%20%282025%29%20-%20%5B1080p%20WEB-DL%5D%20%5BTel%5D%20%7BH.264%20%2B%20DD%2B%20%2B%20AAC%20%2B%20eSub%7D.mkv,https://archive.org/download/mahavatar-narsimha-2025-telugu/eng_sub.srt,Telugu (DD+ 5.1 Surround),https://archive.org/download/mahavatar-narsimha-2025-telugu/audio_telugu_aac.aac,,,,
